group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree,,100000,,,50417563.0,ns,1
Red_Black_Tree,,100000,,,20340800.0,ns,1
Red_Black_Tree,,100000,,,54126348.0,ns,1
Red_Black_Tree,,100000,,,14416468.0,ns,1
Red_Black_Tree,,100000,,,101807621.0,ns,1
Red_Black_Tree,,100000,,,134056980.0,ns,1
Red_Black_Tree,,100000,,,61303590.0,ns,1
Red_Black_Tree,,100000,,,256690393.0,ns,1
Red_Black_Tree,,100000,,,117643851.0,ns,1
Red_Black_Tree,,100000,,,1083476702.0,ns,1
Red_Black_Tree,,100000,,,17666203.0,ns,1
Red_Black_Tree,,100000,,,17079370.0,ns,1
Red_Black_Tree,,100000,,,279225871.0,ns,1
Red_Black_Tree,,100000,,,18488699.0,ns,1
Red_Black_Tree,,100000,,,193275077.0,ns,1
Red_Black_Tree,,100000,,,16844422.0,ns,1
Red_Black_Tree,,100000,,,18925936.0,ns,1
Red_Black_Tree,,100000,,,19024446.0,ns,1
Red_Black_Tree,,100000,,,15810408.0,ns,1
Red_Black_Tree,,100000,,,146251856.0,ns,1
Red_Black_Tree,,100000,,,701451146.0,ns,1
Red_Black_Tree,,100000,,,17031235.0,ns,1
Red_Black_Tree,,100000,,,18870796.0,ns,1
Red_Black_Tree,,100000,,,19263798.0,ns,1
Red_Black_Tree,,100000,,,15610954.0,ns,1
Red_Black_Tree,,100000,,,16494239.0,ns,1
Red_Black_Tree,,100000,,,18294194.0,ns,1
Red_Black_Tree,,100000,,,18904496.0,ns,1
Red_Black_Tree,,100000,,,18792993.0,ns,1
Red_Black_Tree,,100000,,,117659691.0,ns,1
Red_Black_Tree,,100000,,,339710992.0,ns,1
Red_Black_Tree,,100000,,,52743620.0,ns,1
Red_Black_Tree,,100000,,,21962857.0,ns,1
Red_Black_Tree,,100000,,,18482142.0,ns,1
Red_Black_Tree,,100000,,,19182637.0,ns,1
Red_Black_Tree,,100000,,,18847106.0,ns,1
Red_Black_Tree,,100000,,,127982950.0,ns,1
Red_Black_Tree,,100000,,,39240636.0,ns,1
Red_Black_Tree,,100000,,,18660288.0,ns,1
Red_Black_Tree,,100000,,,412348034.0,ns,1
Red_Black_Tree,,100000,,,16741218.0,ns,1
Red_Black_Tree,,100000,,,17309535.0,ns,1
Red_Black_Tree,,100000,,,123623818.0,ns,1
Red_Black_Tree,,100000,,,41362108.0,ns,1
Red_Black_Tree,,100000,,,501213542.0,ns,1
Red_Black_Tree,,100000,,,16584314.0,ns,1
Red_Black_Tree,,100000,,,17699894.0,ns,1
Red_Black_Tree,,100000,,,36148219.0,ns,1
Red_Black_Tree,,100000,,,140787850.0,ns,1
Red_Black_Tree,,100000,,,95697002.0,ns,1
Red_Black_Tree,,100000,,,68182033.0,ns,1
Red_Black_Tree,,100000,,,128544248.0,ns,1
Red_Black_Tree,,100000,,,33154651.0,ns,1
Red_Black_Tree,,100000,,,91958358.0,ns,1
Red_Black_Tree,,100000,,,83226516.0,ns,1
Red_Black_Tree,,100000,,,157764035.0,ns,1
Red_Black_Tree,,100000,,,329437289.0,ns,1
Red_Black_Tree,,100000,,,203606309.0,ns,1
Red_Black_Tree,,100000,,,251017563.0,ns,1
Red_Black_Tree,,100000,,,241356678.0,ns,1
Red_Black_Tree,,100000,,,318206722.0,ns,1
Red_Black_Tree,,100000,,,47907699.0,ns,1
Red_Black_Tree,,100000,,,323156941.0,ns,1
Red_Black_Tree,,100000,,,177546694.0,ns,1
Red_Black_Tree,,100000,,,159258067.0,ns,1
Red_Black_Tree,,100000,,,122165648.0,ns,1
Red_Black_Tree,,100000,,,90380429.0,ns,1
Red_Black_Tree,,100000,,,161199006.0,ns,1
Red_Black_Tree,,100000,,,32971426.0,ns,1
Red_Black_Tree,,100000,,,225781803.0,ns,1
Red_Black_Tree,,100000,,,179515891.0,ns,1
Red_Black_Tree,,100000,,,53813155.0,ns,1
Red_Black_Tree,,100000,,,161601748.0,ns,1
Red_Black_Tree,,100000,,,102784128.0,ns,1
Red_Black_Tree,,100000,,,23651221.0,ns,1
Red_Black_Tree,,100000,,,19405589.0,ns,1
Red_Black_Tree,,100000,,,447051331.0,ns,1
Red_Black_Tree,,100000,,,15994304.0,ns,1
Red_Black_Tree,,100000,,,17665646.0,ns,1
Red_Black_Tree,,100000,,,221111237.0,ns,1
Red_Black_Tree,,100000,,,44593699.0,ns,1
Red_Black_Tree,,100000,,,167943961.0,ns,1
Red_Black_Tree,,100000,,,233547152.0,ns,1
Red_Black_Tree,,100000,,,17191394.0,ns,1
Red_Black_Tree,,100000,,,1355280337.0,ns,1
Red_Black_Tree,,100000,,,18042403.0,ns,1
Red_Black_Tree,,100000,,,18582053.0,ns,1
Red_Black_Tree,,100000,,,179620442.0,ns,1
Red_Black_Tree,,100000,,,26061149.0,ns,1
Red_Black_Tree,,100000,,,93146123.0,ns,1
Red_Black_Tree,,100000,,,22170776.0,ns,1
Red_Black_Tree,,100000,,,124338420.0,ns,1
Red_Black_Tree,,100000,,,38095242.0,ns,1
Red_Black_Tree,,100000,,,67038683.0,ns,1
Red_Black_Tree,,100000,,,61674043.0,ns,1
Red_Black_Tree,,100000,,,142909378.0,ns,1
Red_Black_Tree,,100000,,,199620521.0,ns,1
Red_Black_Tree,,100000,,,377440427.0,ns,1
Red_Black_Tree,,100000,,,22011408.0,ns,1
Red_Black_Tree,,100000,,,241699495.0,ns,1
