group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Red_Black_Tree,,130000,,,23879728.0,ns,1
Red_Black_Tree,,130000,,,25180705.0,ns,1
Red_Black_Tree,,130000,,,25248288.0,ns,1
Red_Black_Tree,,130000,,,24945254.0,ns,1
Red_Black_Tree,,130000,,,27528568.0,ns,1
Red_Black_Tree,,130000,,,26694331.0,ns,1
Red_Black_Tree,,130000,,,55554317.0,ns,1
Red_Black_Tree,,130000,,,100194946.0,ns,1
Red_Black_Tree,,130000,,,29582564.0,ns,1
Red_Black_Tree,,130000,,,52893475.0,ns,1
Red_Black_Tree,,130000,,,26603498.0,ns,1
Red_Black_Tree,,130000,,,192910895.0,ns,1
Red_Black_Tree,,130000,,,60555886.0,ns,1
Red_Black_Tree,,130000,,,26743176.0,ns,1
Red_Black_Tree,,130000,,,153115317.0,ns,1
Red_Black_Tree,,130000,,,26722192.0,ns,1
Red_Black_Tree,,130000,,,431689118.0,ns,1
Red_Black_Tree,,130000,,,33495000.0,ns,1
Red_Black_Tree,,130000,,,50472875.0,ns,1
Red_Black_Tree,,130000,,,57706280.0,ns,1
Red_Black_Tree,,130000,,,90814876.0,ns,1
Red_Black_Tree,,130000,,,219578893.0,ns,1
Red_Black_Tree,,130000,,,79578352.0,ns,1
Red_Black_Tree,,130000,,,115003009.0,ns,1
Red_Black_Tree,,130000,,,82465454.0,ns,1
Red_Black_Tree,,130000,,,86216619.0,ns,1
Red_Black_Tree,,130000,,,178942867.0,ns,1
Red_Black_Tree,,130000,,,213480448.0,ns,1
Red_Black_Tree,,130000,,,39671508.0,ns,1
Red_Black_Tree,,130000,,,185115559.0,ns,1
Red_Black_Tree,,130000,,,391133895.0,ns,1
Red_Black_Tree,,130000,,,139539868.0,ns,1
Red_Black_Tree,,130000,,,57671044.0,ns,1
Red_Black_Tree,,130000,,,95384732.0,ns,1
Red_Black_Tree,,130000,,,74662819.0,ns,1
Red_Black_Tree,,130000,,,168321251.0,ns,1
Red_Black_Tree,,130000,,,696161198.0,ns,1
Red_Black_Tree,,130000,,,25510545.0,ns,1
Red_Black_Tree,,130000,,,21918865.0,ns,1
Red_Black_Tree,,130000,,,190092192.0,ns,1
Red_Black_Tree,,130000,,,231344704.0,ns,1
Red_Black_Tree,,130000,,,697339025.0,ns,1
Red_Black_Tree,,130000,,,24736655.0,ns,1
Red_Black_Tree,,130000,,,24451875.0,ns,1
Red_Black_Tree,,130000,,,375123268.0,ns,1
Red_Black_Tree,,130000,,,26722399.0,ns,1
Red_Black_Tree,,130000,,,396815690.0,ns,1
Red_Black_Tree,,130000,,,34897550.0,ns,1
Red_Black_Tree,,130000,,,40146843.0,ns,1
Red_Black_Tree,,130000,,,237635942.0,ns,1
Red_Black_Tree,,130000,,,141920505.0,ns,1
Red_Black_Tree,,130000,,,144284661.0,ns,1
Red_Black_Tree,,130000,,,414262714.0,ns,1
Red_Black_Tree,,130000,,,540860431.0,ns,1
Red_Black_Tree,,130000,,,383795704.0,ns,1
Red_Black_Tree,,130000,,,852359410.0,ns,1
Red_Black_Tree,,130000,,,30744348.0,ns,1
Red_Black_Tree,,130000,,,110060155.0,ns,1
Red_Black_Tree,,130000,,,34875045.0,ns,1
Red_Black_Tree,,130000,,,146690724.0,ns,1
Red_Black_Tree,,130000,,,63373652.0,ns,1
Red_Black_Tree,,130000,,,50457996.0,ns,1
Red_Black_Tree,,130000,,,91780440.0,ns,1
Red_Black_Tree,,130000,,,95475172.0,ns,1
Red_Black_Tree,,130000,,,93522013.0,ns,1
Red_Black_Tree,,130000,,,113199181.0,ns,1
Red_Black_Tree,,130000,,,69785862.0,ns,1
Red_Black_Tree,,130000,,,130356545.0,ns,1
Red_Black_Tree,,130000,,,318390873.0,ns,1
Red_Black_Tree,,130000,,,57248475.0,ns,1
Red_Black_Tree,,130000,,,24210591.0,ns,1
Red_Black_Tree,,130000,,,224905104.0,ns,1
Red_Black_Tree,,130000,,,54014176.0,ns,1
Red_Black_Tree,,130000,,,82799097.0,ns,1
Red_Black_Tree,,130000,,,401950187.0,ns,1
Red_Black_Tree,,130000,,,173794980.0,ns,1
Red_Black_Tree,,130000,,,75814287.0,ns,1
Red_Black_Tree,,130000,,,185758805.0,ns,1
Red_Black_Tree,,130000,,,130136360.0,ns,1
Red_Black_Tree,,130000,,,186815104.0,ns,1
Red_Black_Tree,,130000,,,94567948.0,ns,1
Red_Black_Tree,,130000,,,25034710.0,ns,1
Red_Black_Tree,,130000,,,24447406.0,ns,1
Red_Black_Tree,,130000,,,21509814.0,ns,1
Red_Black_Tree,,130000,,,24547197.0,ns,1
Red_Black_Tree,,130000,,,69108019.0,ns,1
Red_Black_Tree,,130000,,,391780747.0,ns,1
Red_Black_Tree,,130000,,,57625970.0,ns,1
Red_Black_Tree,,130000,,,309395262.0,ns,1
Red_Black_Tree,,130000,,,422409634.0,ns,1
Red_Black_Tree,,130000,,,457558068.0,ns,1
Red_Black_Tree,,130000,,,99267388.0,ns,1
Red_Black_Tree,,130000,,,101593637.0,ns,1
Red_Black_Tree,,130000,,,113911796.0,ns,1
Red_Black_Tree,,130000,,,162281848.0,ns,1
Red_Black_Tree,,130000,,,164129549.0,ns,1
Red_Black_Tree,,130000,,,169571995.0,ns,1
Red_Black_Tree,,130000,,,527199484.0,ns,1
Red_Black_Tree,,130000,,,310481863.0,ns,1
Red_Black_Tree,,130000,,,158286363.0,ns,1
